x,y,z
3.0,400.0,10.07
3.0,405.0,9.987
3.0,410.0,9.9
3.0,415.0,9.82
3.0,420.0,9.737
3.0,425.0,9.658
3.0,430.0,9.58
3.0,435.0,9.504
3.0,440.0,9.428
3.0,445.0,9.354
3.0,450.0,9.281
3.0,455.0,9.21
3.0,460.0,9.14
3.0,465.0,9.071
3.0,470.0,9.003
3.0,475.0,8.936
3.05,400.0,10.25
3.05,405.0,10.16
3.05,410.0,10.07
3.05,415.0,9.99
3.05,420.0,9.91
3.05,425.0,9.826
3.05,430.0,9.746
3.05,435.0,9.88
3.05,440.0,9.591
3.05,445.0,9.516
3.05,450.0,9.442
3.05,455.0,9.369
3.05,460.0,9.297
3.05,465.0,9.227
3.05,470.0,9.158
3.05,475.0,9.089
3.1,400.0,10.42
3.1,405.0,10.33
3.1,410.0,10.25
3.1,415.0,10.16
3.1,420.0,10.08
3.1,425.0,9.994
3.1,430.0,9.912
3.1,435.0,9.833
3.1,440.0,9.754
3.1,445.0,9.677
3.1,450.0,9.602
3.1,455.0,9.528
3.1,460.0,9.455
3.1,465.0,9.383
3.1,470.0,9.313
3.1,475.0,9.243
3.15,400.0,10.6
3.15,405.0,10.51
3.15,410.0,10.42
3.15,415.0,10.33
3.15,420.0,10.24
3.15,425.0,10.16
3.15,430.0,10.08
3.15,435.0,9.998
3.15,440.0,9.918
3.15,445.0,9.84
3.15,450.0,9.763
3.15,455.0,9.687
3.15,460.0,9.613
3.15,465.0,9.539
3.15,470.0,9.468
3.15,475.0,9.397
3.2,400.0,10.77
3.2,405.0,10.68
3.2,410.0,10.59
3.2,415.0,10.5
3.2,420.0,10.41
3.2,425.0,10.33
3.2,430.0,10.24
3.2,435.0,10.16
3.2,440.0,10.08
3.2,445.0,10.0
3.2,450.0,9.923
3.2,455.0,9.846
3.2,460.0,9.771
3.2,465.0,9.696
3.2,470.0,9.623
3.2,475.0,9.551
3.25,400.0,10.95
3.25,405.0,10.82
3.25,410.0,10.76
3.25,415.0,10.67
3.25,420.0,10.58
3.25,425.0,10.5
3.25,430.0,10.41
3.25,435.0,10.33
3.25,440.0,10.25
3.25,445.0,10.16
3.25,450.0,10.08
3.25,455.0,10.01
3.25,460.0,9.929
3.25,465.0,9.853
3.25,470.0,9.779
3.25,475.0,9.705
3.3,400.0,11.13
3.3,405.0,11.03
3.3,410.0,10.94
3.3,415.0,10.85
3.3,420.0,10.75
3.3,425.0,10.67
3.3,430.0,10.58
3.3,435.0,10.49
3.3,440.0,10.41
3.3,445.0,10.33
3.3,450.0,10.25
3.3,455.0,10.17
3.3,460.0,10.09
3.3,465.0,10.01
3.3,470.0,9.935
3.3,475.0,9.859
3.35,400.0,11.3
3.35,405.0,11.21
3.35,410.0,11.11
3.35,415.0,11.02
3.35,420.0,10.92
3.35,425.0,10.84
3.35,430.0,10.75
3.35,435.0,10.66
3.35,440.0,10.57
3.35,445.0,10.49
3.35,450.0,10.41
3.35,455.0,10.33
3.35,460.0,10.25
3.35,465.0,10.17
3.35,470.0,10.09
3.35,475.0,10.01
3.4,400.0,11.48
3.4,405.0,11.38
3.4,410.0,11.28
3.4,415.0,11.19
3.4,420.0,11.1
3.4,425.0,11.0
3.4,430.0,10.91
3.4,435.0,10.82
3.4,440.0,10.74
3.4,445.0,10.65
3.4,450.0,10.57
3.4,455.0,10.49
3.4,460.0,10.4
3.4,465.0,10.32
3.4,470.0,10.25
3.4,475.0,10.17
3.45,400.0,11.66
3.45,405.0,11.56
3.45,410.0,11.46
3.45,415.0,11.36
3.45,420.0,11.27
3.45,425.0,11.17
3.45,430.0,11.08
3.45,435.0,10.99
3.45,440.0,10.9
3.45,445.0,10.82
3.45,450.0,10.73
3.45,455.0,10.65
3.45,460.0,10.56
3.45,465.0,10.48
3.45,470.0,10.4
3.45,475.0,10.32
3.5,400.0,11.84
3.5,405.0,11.74
3.5,410.0,11.63
3.5,415.0,11.54
3.5,420.0,11.44
3.5,425.0,11.34
3.5,430.0,11.25
3.5,435.0,11.16
3.5,440.0,11.07
3.5,445.0,10.98
3.5,450.0,10.89
3.5,455.0,10.81
3.5,460.0,10.72
3.5,465.0,10.64
3.5,470.0,10.56
3.5,475.0,10.48
